date,actual_max,solar_radiation,sunshine_hours
2021-06-01,71.8,29.77,14.374
2021-06-02,70.7,26.33,14.372
2021-06-03,83.4,26.11,14.37
2021-06-04,92.2,27.38,14.0
2021-06-05,92.7,28.43,14.366
2021-06-06,89.7,24.51,13.458
2021-06-07,78.2,9.53,4.095
2021-06-08,79.8,19.13,11.821
2021-06-09,78.3,23.57,13.179
2021-06-10,79.5,24.51,13.0
2021-06-11,84.5,24.15,13.0
2021-06-12,81.4,22.81,12.0
2021-06-13,80.5,28.7,14.559
2021-06-14,75.8,27.72,14.46
2021-06-15,71.5,25.11,14.465
2021-06-16,70.8,30.66,14.562
2021-06-17,90.7,27.3,13.462
2021-06-18,91.6,23.04,11.612
2021-06-19,91.5,25.73,13.0
2021-06-20,80.3,16.05,8.389
2021-06-21,72.8,18.47,11.072
2021-06-22,72.6,19.94,11.332
2021-06-23,78.1,15.85,10.666
2021-06-24,78.0,12.63,3.07
2021-06-25,80.5,11.93,4.845
2021-06-26,81.2,9.87,2.625
2021-06-27,82.9,21.6,11.966
2021-06-28,74.4,12.96,5.33
2021-06-29,83.0,12.6,5.948
2021-06-30,79.2,16.56,8.95
2021-07-01,70.0,28.75,14.0
2021-07-02,66.0,28.73,14.204
2021-07-03,86.7,28.16,14.208
2021-07-04,89.5,27.39,14.114
2021-07-05,90.4,28.89,14.217
2021-07-06,90.2,24.53,14.024
2021-07-07,85.9,18.17,11.133
2021-07-08,65.6,13.86,5.881
2021-07-09,72.4,27.92,14.039
2021-07-10,73.0,13.51,4.224
2021-07-11,67.5,11.25,3.681
2021-07-12,72.0,12.95,5.307
2021-07-13,77.7,15.59,7.136
2021-07-14,85.7,22.14,11.292
2021-07-15,78.4,11.58,2.652
2021-07-16,68.3,11.03,1.386
2021-07-17,70.4,24.78,12.261
2021-07-18,76.3,26.66,14.0
2021-07-19,79.2,26.49,14.005
2021-07-20,87.5,27.35,13.971
2021-07-21,70.4,18.02,9.381
2021-07-22,80.9,18.13,11.778
2021-07-23,86.4,21.52,13.706
2021-07-24,90.0,21.24,14.0
2021-07-25,89.1,26.75,13.304
2021-07-26,88.5,27.92,14.0
2021-07-27,90.3,25.06,14.0
2021-07-28,89.1,20.61,13.819
2021-07-29,86.2,23.35,12.633
2021-07-30,68.4,22.81,9.461
2021-07-31,80.3,26.27,14.0
2021-08-01,71.2,22.93,14.0
2021-08-02,74.2,19.94,14.0
2021-08-03,78.5,24.27,14.0
2021-08-04,80.6,24.18,14.0
2021-08-05,85.2,24.15,13.995
2021-08-06,79.0,13.52,6.471
2021-08-07,85.6,20.6,13.451
2021-08-08,88.1,22.01,13.0
2021-08-09,81.0,9.25,0.813
2021-08-10,91.5,21.32,12.504
2021-08-11,89.3,17.29,6.582
2021-08-12,90.2,23.35,12.0
2021-08-13,77.6,22.09,12.351
2021-08-14,76.4,25.62,13.091
2021-08-15,76.7,25.86,13.707
2021-08-16,76.0,25.16,13.666
2021-08-17,78.3,21.34,13.34
2021-08-18,80.6,18.98,10.838
2021-08-19,82.1,20.11,13.328
2021-08-20,82.2,20.29,13.233
2021-08-21,87.6,18.85,12.599
2021-08-22,74.3,22.46,12.972
2021-08-23,88.3,18.19,11.391
2021-08-24,88.9,14.67,7.965
2021-08-25,91.0,18.52,12.548
2021-08-26,84.7,21.38,12.61
2021-08-27,88.8,20.97,12.249
2021-08-28,92.1,17.74,9.606
2021-08-29,88.7,17.73,12.613
2021-08-30,80.9,22.83,12.676
2021-08-31,79.4,19.38,9.73
2021-09-01,73.5,20.63,12.473
2021-09-02,75.1,19.88,11.315
2021-09-03,76.1,8.96,5.0
2021-09-04,78.0,9.08,2.351
2021-09-05,81.6,20.1,12.406
2021-09-06,75.8,22.31,12.327
2021-09-07,85.7,14.54,10.249
2021-09-08,76.6,19.5,12.257
2021-09-09,71.3,18.44,12.179
2021-09-10,78.8,20.89,12.187
2021-09-11,86.9,19.88,11.958
2021-09-12,88.4,18.62,9.996
2021-09-13,79.0,13.87,8.09
2021-09-14,86.5,15.83,10.814
2021-09-15,73.0,18.9,11.983
2021-09-16,78.3,20.35,11.962
2021-09-17,87.8,19.15,11.866
2021-09-18,71.4,16.91,11.716
2021-09-19,81.8,16.58,11.284
2021-09-20,81.0,9.73,6.829
2021-09-21,73.1,8.22,3.756
2021-09-22,61.7,8.48,2.444
2021-09-23,64.8,13.42,8.553
2021-09-24,75.7,18.01,10.742
2021-09-25,68.4,17.98,11.544
2021-09-26,79.9,17.27,10.372
2021-09-27,85.0,18.02,11.315
2021-09-28,68.4,17.8,11.416
2021-09-29,74.0,17.87,11.172
2021-09-30,73.4,15.06,11.014
2021-10-01,81.4,16.05,11.0
2021-10-02,75.8,7.62,2.668
2021-10-03,73.9,10.52,7.373
2021-10-04,66.8,9.42,6.533
2021-10-05,64.6,6.53,4.301
2021-10-06,66.1,8.09,3.22
2021-10-07,70.8,6.59,3.772
2021-10-08,72.5,12.01,8.367
2021-10-09,74.9,14.61,10.97
2021-10-10,78.1,8.36,5.538
2021-10-11,75.2,7.17,4.991
2021-10-12,70.3,7.21,3.322
2021-10-13,70.1,10.21,6.233
2021-10-14,68.6,7.7,4.585
2021-10-15,60.4,6.21,4.093
2021-10-16,57.8,12.78,10.837
2021-10-17,63.6,15.1,10.818
2021-10-18,68.9,14.58,10.793
2021-10-19,68.5,13.01,10.748
2021-10-20,70.4,12.7,10.153
2021-10-21,63.1,5.0,1.229
2021-10-22,55.1,10.34,5.765
2021-10-23,54.0,13.09,10.568
2021-10-24,51.1,1.95,0.0
2021-10-25,52.5,3.04,0.0
2021-10-26,54.4,10.5,10.296
2021-10-27,52.3,13.2,10.149
2021-10-28,55.2,1.99,0.0
2021-10-29,54.8,1.79,0.0
2021-10-30,55.5,10.57,9.704
2021-10-31,52.8,8.06,8.163
2021-11-01,47.6,9.64,9.285
2021-11-02,44.8,11.11,9.546
2021-11-03,43.8,10.04,7.227
2021-11-04,46.5,7.19,6.066
2021-11-05,50.4,11.79,9.71
2021-11-06,55.8,10.74,8.279
2021-11-07,62.5,10.66,9.085
2021-11-08,63.2,10.77,9.002
2021-11-09,55.1,8.07,5.885
2021-11-10,54.4,9.08,7.489
2021-11-11,55.1,3.59,3.246
2021-11-12,43.4,6.18,4.375
2021-11-13,40.7,6.2,4.5
2021-11-14,38.0,3.55,1.475
2021-11-15,34.8,4.41,2.575
2021-11-16,50.3,8.91,7.0
2021-11-17,60.6,2.12,0.0
2021-11-18,42.6,7.53,6.203
2021-11-19,38.0,9.07,8.451
2021-11-20,46.6,5.25,4.515
2021-11-21,52.8,7.86,6.03
2021-11-22,34.0,9.96,9.0
2021-11-23,42.1,9.41,9.0
2021-11-24,49.9,3.26,0.0
2021-11-25,47.4,1.79,0.0
2021-11-26,31.5,8.33,9.0
2021-11-27,39.0,4.24,3.0
2021-11-28,36.6,8.79,8.968
2021-11-29,39.0,3.03,1.696
2021-11-30,47.9,8.95,8.931
2021-12-01,50.3,6.13,4.853
2021-12-02,55.1,8.12,8.0
2021-12-03,46.6,5.36,4.918
2021-12-04,39.4,5.75,6.282
2021-12-05,43.9,1.29,0.0
2021-12-06,37.1,7.21,6.951
2021-12-07,25.5,6.08,5.251
2021-12-08,33.0,8.36,8.329
2021-12-09,43.6,2.27,0.0
2021-12-10,55.7,5.78,5.767
2021-12-11,58.7,5.34,5.501
2021-12-12,47.2,8.31,8.74
2021-12-13,48.8,8.12,8.727
2021-12-14,49.2,6.8,7.581
2021-12-15,65.0,2.74,0.217
2021-12-16,62.7,8.12,8.693
2021-12-17,37.2,8.06,8.601
2021-12-18,39.6,2.36,0.605
2021-12-19,36.1,6.34,8.01
2021-12-20,40.8,7.48,8.653
2021-12-21,39.7,7.13,8.304
2021-12-22,30.6,8.18,8.636
2021-12-23,45.2,5.3,4.702
2021-12-24,56.8,3.05,0.0
2021-12-25,53.0,4.71,4.17
2021-12-26,40.5,6.26,6.785
2021-12-27,49.3,5.06,4.634
2021-12-28,36.6,1.05,0.0
2021-12-29,36.0,5.76,3.687
2021-12-30,37.9,5.61,6.018
2021-12-31,41.0,4.55,3.759
2022-01-01,38.7,1.19,0.0
2022-01-02,28.5,5.97,6.566
2022-01-03,19.7,8.82,8.509
2022-01-04,33.3,7.39,6.937
2022-01-05,30.8,7.52,6.0
2022-01-06,13.7,7.61,7.28
2022-01-07,13.2,9.12,8.671
2022-01-08,31.9,4.29,3.517
2022-01-09,33.6,9.19,8.538
2022-01-10,13.1,9.44,8.564
2022-01-11,36.1,9.08,9.188
2022-01-12,41.0,4.93,2.694
2022-01-13,38.7,6.1,6.407
2022-01-14,34.5,3.03,0.0
2022-01-15,25.7,4.37,0.349
2022-01-16,27.7,8.53,7.158
2022-01-17,29.3,6.31,5.449
2022-01-18,42.7,8.51,8.337
2022-01-19,39.8,8.68,9.297
2022-01-20,17.8,9.28,9.445
2022-01-21,25.6,8.77,6.801
2022-01-22,32.8,6.09,4.069
2022-01-23,22.9,9.13,7.057
2022-01-24,26.8,6.66,4.106
2022-01-25,10.6,11.38,9.609
2022-01-26,9.7,11.49,9.645
2022-01-27,30.8,7.35,5.826
2022-01-28,26.3,6.42,4.415
2022-01-29,19.8,10.98,8.177
2022-01-30,28.9,6.45,3.49
2022-01-31,30.6,11.19,9.107
2022-02-01,44.6,5.68,4.225
2022-02-02,32.9,3.14,0.0
2022-02-03,24.3,4.79,0.0
2022-02-04,22.8,9.89,7.524
2022-02-05,16.3,12.06,9.93
2022-02-06,30.9,11.37,9.317
2022-02-07,27.3,11.15,8.095
2022-02-08,36.3,12.61,9.969
2022-02-09,40.4,7.69,5.735
2022-02-10,33.4,9.69,8.541
2022-02-11,45.3,6.84,4.013
2022-02-12,27.7,13.31,10.0
2022-02-13,19.2,11.97,8.481
2022-02-14,28.7,12.77,10.0
2022-02-15,37.8,12.33,10.0
2022-02-16,56.0,8.24,4.446
2022-02-17,38.6,4.01,0.0
2022-02-18,30.3,14.29,10.0
2022-02-19,29.9,15.4,10.155
2022-02-20,52.3,14.74,10.054
2022-02-21,50.9,12.79,10.043
2022-02-22,51.5,3.52,0.171
2022-02-23,25.3,14.86,9.977
2022-02-24,26.8,5.53,0.716
2022-02-25,27.5,9.2,3.806
2022-02-26,32.9,16.45,10.488
2022-02-27,42.9,15.7,10.551
2022-02-28,53.7,15.53,10.119
2022-03-01,46.3,7.97,4.309
2022-03-02,52.8,10.54,7.904
2022-03-03,32.6,15.03,9.475
2022-03-04,36.6,13.71,9.556
2022-03-05,67.0,14.89,10.751
2022-03-06,58.4,14.71,9.144
2022-03-07,35.7,8.04,1.335
2022-03-08,38.7,18.23,11.431
2022-03-09,42.6,17.76,10.771
2022-03-10,27.0,12.03,7.058
2022-03-11,36.1,17.27,10.221
2022-03-12,24.5,19.37,11.622
2022-03-13,52.4,18.85,10.848
2022-03-14,60.1,15.89,10.698
2022-03-15,42.7,17.7,10.188
2022-03-16,66.9,14.65,11.186
2022-03-17,63.2,15.48,8.738
2022-03-18,40.5,3.57,0.0
2022-03-19,41.5,3.81,0.0
2022-03-20,57.7,19.88,11.981
2022-03-21,70.4,19.23,11.448
2022-03-22,52.4,4.91,0.392
2022-03-23,59.1,9.2,3.921
2022-03-24,46.7,3.3,0.0
