date,temp_min,wind_max,wind_dir_dom,precip,et0,aft_rh,aft_dewpt,aft_wind_dir,aft_cloud
2021-06-01,51.0,10.5,135,0.0,5.31,34.1,41.3,100.7,39.3
2021-06-02,54.8,8.2,64,0.0,4.62,51.6,51.5,43.5,88.4
2021-06-03,52.0,9.1,223,0.0,5.86,30.9,48.0,171.1,28.0
2021-06-04,65.2,15.8,250,0.0,8.93,22.4,47.0,245.8,11.0
2021-06-05,69.0,15.0,226,0.0,8.81,30.0,55.7,229.6,44.0
2021-06-06,71.2,15.8,205,1.2,7.3,38.4,59.2,196.3,84.7
2021-06-07,70.4,11.7,197,19.5,2.17,82.1,68.8,178.3,83.3
2021-06-08,67.7,6.9,112,3.5,3.6,77.3,69.5,97.4,92.4
2021-06-09,60.9,8.6,36,5.8,4.0,82.9,67.4,39.3,62.7
2021-06-10,60.8,8.1,70,0.0,4.47,72.0,68.0,92.4,37.4
2021-06-11,64.3,7.4,83,0.0,4.92,62.0,68.7,94.6,33.3
2021-06-12,62.8,8.5,24,0.7,4.42,68.3,64.7,36.4,59.1
2021-06-13,65.0,11.0,44,0.0,6.24,44.4,54.8,92.1,0.4
2021-06-14,64.1,16.0,358,0.0,6.08,51.9,54.3,56.2,27.9
2021-06-15,62.0,11.2,16,0.0,4.77,55.3,53.0,30.1,55.6
2021-06-16,58.7,9.7,32,0.0,5.68,36.9,42.2,39.0,0.0
2021-06-17,55.1,15.5,185,0.0,7.05,24.1,46.9,173.2,38.1
2021-06-18,67.9,14.7,225,0.3,6.33,45.1,64.5,339.7,53.6
2021-06-19,63.2,15.2,260,0.5,6.02,45.6,61.2,276.7,28.4
2021-06-20,61.1,11.3,108,8.0,3.19,72.7,67.6,128.0,100.0
2021-06-21,57.7,17.4,305,0.3,4.45,40.7,45.7,321.4,85.7
2021-06-22,54.2,14.3,270,0.0,4.41,36.0,41.3,322.0,95.0
2021-06-23,62.0,16.8,192,2.2,4.69,49.1,52.6,192.3,82.7
2021-06-24,67.9,20.2,196,1.1,4.02,66.9,64.9,211.7,100.0
2021-06-25,69.5,15.5,207,39.5,2.36,79.9,71.0,250.4,96.3
2021-06-26,71.4,18.3,202,21.1,1.96,86.0,72.7,209.3,96.3
2021-06-27,67.2,16.4,227,1.0,4.44,61.1,66.7,246.9,44.0
2021-06-28,66.8,7.9,82,8.7,2.26,91.4,68.7,49.5,98.4
2021-06-29,70.8,10.3,228,21.8,2.59,78.3,71.7,235.1,83.7
2021-06-30,70.4,7.7,228,3.9,3.23,79.0,69.8,200.5,93.9
2021-07-01,57.7,15.4,12,0.6,3.76,78.0,56.8,10.6,33.0
2021-07-02,56.3,11.2,15,0.0,4.34,68.0,54.6,35.7,64.3
2021-07-03,56.0,10.0,280,0.0,6.16,45.0,61.2,284.7,0.0
2021-07-04,69.5,10.3,254,0.0,6.32,50.1,66.9,222.5,68.1
2021-07-05,71.9,16.7,242,0.0,7.14,47.1,66.5,239.3,3.7
