date,forecast_max
2021-06-01,69.4
2021-06-02,69.3
2021-06-03,74.7
2021-06-04,83.7
2021-06-05,85.5
2021-06-06,83.3
2021-06-07,75.4
2021-06-08,75.6
2021-06-09,75.0
2021-06-10,75.6
2021-06-11,77.7
2021-06-12,75.0
2021-06-13,72.7
2021-06-14,71.6
2021-06-15,67.3
2021-06-16,68.0
2021-06-17,82.2
2021-06-18,79.7
2021-06-19,78.4
2021-06-20,80.2
2021-06-21,71.2
2021-06-22,68.7
2021-06-23,72.7
2021-06-24,69.4
2021-06-25,80.1
2021-06-26,77.7
2021-06-27,80.1
2021-06-28,75.7
2021-06-29,81.7
2021-06-30,79.3
2021-07-01,71.1
2021-07-02,68.0
2021-07-03,84.0
2021-07-04,86.7
2021-07-05,88.9
2021-07-06,88.7
2021-07-07,72.5
2021-07-08,70.5
2021-07-09,70.9
2021-07-10,70.9
2021-07-11,68.5
2021-07-12,72.9
2021-07-13,75.0
2021-07-14,84.0
2021-07-15,75.0
2021-07-16,70.2
2021-07-17,70.3
2021-07-18,75.7
2021-07-19,78.3
2021-07-20,84.4
2021-07-21,73.0
2021-07-22,79.0
2021-07-23,86.2
2021-07-24,89.4
2021-07-25,88.3
2021-07-26,84.9
2021-07-27,90.1
2021-07-28,83.5
2021-07-29,85.5
2021-07-30,71.6
2021-07-31,79.2
2021-08-01,72.0
2021-08-02,72.9
2021-08-03,76.1
2021-08-04,79.3
2021-08-05,82.4
2021-08-06,82.0
2021-08-07,84.7
2021-08-08,87.1
2021-08-09,79.0
2021-08-10,92.5
2021-08-11,90.0
2021-08-12,90.7
2021-08-13,79.0
2021-08-14,76.8
2021-08-15,74.1
2021-08-16,74.5
2021-08-17,78.6
2021-08-18,80.1
2021-08-19,81.7
2021-08-20,81.1
2021-08-21,87.1
2021-08-22,75.6
2021-08-23,86.7
2021-08-24,87.1
2021-08-25,91.2
2021-08-26,84.9
2021-08-27,87.1
2021-08-28,91.2
2021-08-29,89.4
2021-08-30,80.1
2021-08-31,78.1
2021-09-01,73.0
2021-09-02,72.5
2021-09-03,74.1
2021-09-04,77.7
2021-09-05,80.8
2021-09-06,73.4
2021-09-07,86.0
2021-09-08,77.7
2021-09-09,74.1
2021-09-10,79.7
2021-09-11,86.9
2021-09-12,87.4
2021-09-13,85.5
2021-09-14,86.4
2021-09-15,72.9
2021-09-16,78.1
2021-09-17,85.6
2021-09-18,73.2
2021-09-19,82.2
2021-09-20,76.3
2021-09-21,72.5
2021-09-22,63.0
2021-09-23,61.7
2021-09-24,76.8
2021-09-25,68.7
2021-09-26,79.3
2021-09-27,82.0
2021-09-28,67.5
2021-09-29,72.7
2021-09-30,72.0
2021-10-01,79.2
2021-10-02,76.6
2021-10-03,71.6
2021-10-04,66.4
2021-10-05,67.8
2021-10-06,69.1
2021-10-07,67.1
2021-10-08,74.1
2021-10-09,76.5
2021-10-10,80.4
2021-10-11,78.3
2021-10-12,71.6
2021-10-13,71.1
2021-10-14,67.6
2021-10-15,62.2
2021-10-16,59.2
2021-10-17,65.3
2021-10-18,68.9
2021-10-19,70.7
2021-10-20,71.6
2021-10-21,65.1
2021-10-22,55.4
2021-10-23,53.4
2021-10-24,54.3
2021-10-25,56.4
2021-10-26,54.3
2021-10-27,55.2
2021-10-28,55.5
2021-10-29,56.3
2021-10-30,56.1
2021-10-31,53.6
2021-11-01,47.3
2021-11-02,45.0
2021-11-03,44.5
2021-11-04,47.3
2021-11-05,51.2
2021-11-06,55.9
2021-11-07,61.4
2021-11-08,63.1
2021-11-09,55.8
2021-11-10,57.4
2021-11-11,57.9
2021-11-12,46.0
2021-11-13,39.4
2021-11-14,39.0
2021-11-15,37.6
2021-11-16,49.4
2021-11-17,57.5
2021-11-18,43.8
2021-11-19,39.6
2021-11-20,49.3
2021-11-21,51.8
2021-11-22,34.7
2021-11-23,42.0
2021-11-24,49.9
2021-11-25,47.5
2021-11-26,31.7
2021-11-27,37.4
2021-11-28,38.1
2021-11-29,40.3
2021-11-30,48.7
2021-12-01,48.6
2021-12-02,52.3
2021-12-03,45.1
2021-12-04,41.8
2021-12-05,45.6
2021-12-06,44.4
2021-12-07,28.0
2021-12-08,31.3
2021-12-09,42.1
2021-12-10,56.1
2021-12-11,60.4
2021-12-12,46.4
2021-12-13,47.9
2021-12-14,48.5
2021-12-15,60.9
2021-12-16,63.9
2021-12-17,37.5
2021-12-18,38.3
2021-12-19,36.0
2021-12-20,41.3
2021-12-21,40.4
2021-12-22,30.7
2021-12-23,42.1
2021-12-24,51.4
2021-12-25,52.1
2021-12-26,39.9
2021-12-27,45.8
2021-12-28,37.4
2021-12-29,36.5
2021-12-30,39.3
2021-12-31,41.0
2022-01-01,38.6
2022-01-02,29.1
2022-01-03,21.2
2022-01-04,34.1
2022-01-05,33.4
2022-01-06,17.7
2022-01-07,16.4
2022-01-08,32.7
2022-01-09,34.0
2022-01-10,15.0
2022-01-11,36.1
2022-01-12,36.1
2022-01-13,34.1
2022-01-14,34.5
2022-01-15,25.6
2022-01-16,28.8
2022-01-17,28.7
2022-01-18,38.0
2022-01-19,36.1
2022-01-20,15.4
2022-01-21,24.1
2022-01-22,28.0
2022-01-23,21.2
2022-01-24,27.0
2022-01-25,12.2
2022-01-26,13.6
2022-01-27,28.0
2022-01-28,20.0
2022-01-29,21.5
2022-01-30,25.9
2022-01-31,30.3
2022-02-01,38.8
2022-02-02,26.1
2022-02-03,26.2
2022-02-04,23.7
2022-02-05,19.9
2022-02-06,31.8
2022-02-07,30.7
2022-02-08,36.3
2022-02-09,36.5
2022-02-10,32.9
2022-02-11,40.2
2022-02-12,24.6
2022-02-13,17.1
2022-02-14,25.9
2022-02-15,36.6
2022-02-16,48.7
2022-02-17,34.9
2022-02-18,29.5
2022-02-19,27.1
2022-02-20,42.5
2022-02-21,41.8
2022-02-22,43.1
2022-02-23,24.9
2022-02-24,27.1
2022-02-25,27.1
2022-02-26,30.4
2022-02-27,33.8
2022-02-28,41.4
2022-03-01,40.1
2022-03-02,43.8
2022-03-03,32.8
2022-03-04,37.6
2022-03-05,60.6
2022-03-06,59.5
2022-03-07,38.3
2022-03-08,38.1
2022-03-09,38.7
2022-03-10,30.4
2022-03-11,34.0
2022-03-12,23.5
2022-03-13,45.3
2022-03-14,54.5
2022-03-15,48.7
2022-03-16,61.8
2022-03-17,56.8
2022-03-18,44.5
2022-03-19,45.1
2022-03-20,55.9
2022-03-21,67.5
2022-03-22,55.8
2022-03-23,57.0
2022-03-24,47.2
2022-03-25,45.0
2022-03-26,37.0
2022-03-27,32.2
